Jaar ,Aanrekening,Naam,Stefaan Gechecked,Opmerking
20160815, FACT 000235 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000235 , Electrabel.pdf,,
20160815, FACT 000236 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000236 , Electrabel.pdf,,
20160815, FACT 000237 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000237 , Electrabel.pdf,,
20160815, FACT 000238 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000238 , Electrabel.pdf,,
20160815, FACT 000239 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000239 , Electrabel.pdf,,
20160815, FACT 000240 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000240 , Electrabel.pdf,,
20160817, FACT 000242 , Proximus (Belgacom) - Bijlage 1.pdf,,
20160817, FACT 000242 , Proximus (Belgacom).pdf,,
20160819, FACT 000241 , VM Vastgoedbeheer - Bijlage 1.pdf,,
20160819, FACT 000241 , VM Vastgoedbeheer.pdf,,
20160825, FACT 000244 , ThyssenKrupp Liften - Bijlage 1.pdf,,
20160825, FACT 000244 , ThyssenKrupp Liften.pdf,,
20160826, FACT 000245 , Bart Beullens - Groenbedrijf - Bijlage 1.pdf,,
20160826, FACT 000245 , Bart Beullens - Groenbedrijf.pdf,,
20160828, FACT 000243 , Facility Comfort - Bijlage 1.pdf,,
20160828, FACT 000243 , Facility Comfort.pdf,,
20160831, FACT 000246 , Facility Comfort - Bijlage 1.pdf,,
20160831, FACT 000246 , Facility Comfort.pdf,,
20160831, FACT 000249 , Somati Systems - Bijlage 1.pdf,,
20160831, FACT 000249 , Somati Systems.pdf,,
20160901, FACT 000247 , Electrabel - Bijlage 1.pdf,,
20160901, FACT 000247 , Electrabel.pdf,,
20160905, FACT 000248 , KBC Verzekeringen - Bijlage 1.pdf,,
20160905, FACT 000248 , KBC Verzekeringen.pdf,,
20160914, FACT 000250 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000250 , ENGIE Electrabel.pdf,,
20160914, FACT 000251 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000251 , ENGIE Electrabel.pdf,,
20160914, FACT 000252 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000252 , ENGIE Electrabel.pdf,,
20160914, FACT 000253 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000253 , ENGIE Electrabel.pdf,,
20160914, FACT 000254 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000254 , ENGIE Electrabel.pdf,,
20160914, FACT 000255 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000255 , ENGIE Electrabel.pdf,,
20160914, FACT 000256 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000256 , ENGIE Electrabel.pdf,,
20160914, FACT 000257 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000257 , ENGIE Electrabel.pdf,,
20160914, FACT 000258 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000258 , ENGIE Electrabel.pdf,,
